===============================
Start experiment at Sat Sep 27 16:33:56 UTC 2025
Config: batch_size=128, hidden=30, lr=0.005, epochs=160
[16:33:58] Running experiment with batch_size=128, hidden=30, lr=0.005, epochs=160, glob_interval=200, shuffle=True
[16:34:13] Data loading time: 14.520 sec
[16:34:44] Epoch 1: Loss=7.885653, Train RMSE=7.645171, Test RMSE=7.647076, Time=30.441 sec
[16:35:12] Epoch 2: Loss=7.536481, Train RMSE=7.472687, Test RMSE=7.475397, Time=28.007 sec
[16:35:39] Epoch 3: Loss=7.349869, Train RMSE=7.299290, Test RMSE=7.303017, Time=27.312 sec
[16:36:06] Epoch 4: Loss=7.126987, Train RMSE=7.093562, Test RMSE=7.098198, Time=27.515 sec
[16:36:48] Epoch 5: Loss=6.882183, Train RMSE=6.892407, Test RMSE=6.898052, Time=41.081 sec
[16:37:18] Epoch 6: Loss=6.657543, Train RMSE=6.718019, Test RMSE=6.723811, Time=30.189 sec
[16:37:47] Epoch 7: Loss=6.482047, Train RMSE=6.585866, Test RMSE=6.591367, Time=29.669 sec
[16:38:17] Epoch 8: Loss=6.352501, Train RMSE=6.453067, Test RMSE=6.461006, Time=29.960 sec
[16:38:47] Epoch 9: Loss=6.248376, Train RMSE=6.362288, Test RMSE=6.369842, Time=29.690 sec
[16:39:17] Epoch 10: Loss=6.178936, Train RMSE=6.249988, Test RMSE=6.257611, Time=30.052 sec
[16:39:49] Epoch 11: Loss=6.112928, Train RMSE=6.218866, Test RMSE=6.227228, Time=31.515 sec
[16:40:21] Epoch 12: Loss=6.064598, Train RMSE=6.165977, Test RMSE=6.172472, Time=32.286 sec
[16:40:53] Epoch 13: Loss=6.032478, Train RMSE=6.119678, Test RMSE=6.127120, Time=32.319 sec
[16:41:24] Epoch 14: Loss=5.998813, Train RMSE=6.120884, Test RMSE=6.128238, Time=30.284 sec
[16:41:53] Epoch 15: Loss=5.975935, Train RMSE=6.067904, Test RMSE=6.074847, Time=29.830 sec
[16:42:37] Epoch 16: Loss=5.958168, Train RMSE=6.036074, Test RMSE=6.043749, Time=43.982 sec
[16:43:13] Epoch 17: Loss=5.938176, Train RMSE=6.024007, Test RMSE=6.032924, Time=36.078 sec
[16:43:43] Epoch 18: Loss=5.925833, Train RMSE=5.986959, Test RMSE=5.997301, Time=29.164 sec
[16:44:12] Epoch 19: Loss=5.904250, Train RMSE=5.996005, Test RMSE=6.004773, Time=28.921 sec
[16:44:42] Epoch 20: Loss=5.887673, Train RMSE=6.001565, Test RMSE=6.009528, Time=30.099 sec
[16:45:13] Epoch 21: Loss=5.878067, Train RMSE=5.982987, Test RMSE=5.991956, Time=30.897 sec
[16:45:43] Epoch 22: Loss=5.867222, Train RMSE=5.969040, Test RMSE=5.977804, Time=30.299 sec
[16:46:13] Epoch 23: Loss=5.854533, Train RMSE=5.954371, Test RMSE=5.963303, Time=29.833 sec
[16:46:43] Epoch 24: Loss=5.844519, Train RMSE=6.072590, Test RMSE=6.083818, Time=30.636 sec
[16:47:27] Epoch 25: Loss=5.833216, Train RMSE=5.933601, Test RMSE=5.942971, Time=43.924 sec
[16:47:57] Epoch 26: Loss=5.815055, Train RMSE=5.992906, Test RMSE=6.001009, Time=29.954 sec
[16:48:27] Epoch 27: Loss=5.815380, Train RMSE=5.899494, Test RMSE=5.909075, Time=29.874 sec
[16:48:56] Epoch 28: Loss=5.800554, Train RMSE=5.912326, Test RMSE=5.921765, Time=29.217 sec
[16:49:25] Epoch 29: Loss=5.787436, Train RMSE=5.929551, Test RMSE=5.938197, Time=28.993 sec
[16:49:55] Epoch 30: Loss=5.786535, Train RMSE=5.880965, Test RMSE=5.892439, Time=29.542 sec
[16:50:25] Epoch 31: Loss=5.768407, Train RMSE=5.912095, Test RMSE=5.920412, Time=29.534 sec
[16:50:55] Epoch 32: Loss=5.771435, Train RMSE=5.860750, Test RMSE=5.870922, Time=30.153 sec
[16:51:24] Epoch 33: Loss=5.759590, Train RMSE=5.867487, Test RMSE=5.877578, Time=28.976 sec
[16:51:54] Epoch 34: Loss=5.750882, Train RMSE=5.854912, Test RMSE=5.864411, Time=30.182 sec
[16:52:23] Epoch 35: Loss=5.745241, Train RMSE=6.318399, Test RMSE=6.325956, Time=29.332 sec
[16:52:52] Epoch 36: Loss=5.735632, Train RMSE=5.930005, Test RMSE=5.937195, Time=28.273 sec
[16:53:47] Epoch 37: Loss=5.727533, Train RMSE=5.839679, Test RMSE=5.848129, Time=55.191 sec
[16:54:20] Epoch 38: Loss=5.718715, Train RMSE=5.816906, Test RMSE=5.829443, Time=33.741 sec
[16:54:50] Epoch 39: Loss=5.710349, Train RMSE=5.860826, Test RMSE=5.869288, Time=29.334 sec
[16:55:18] Epoch 40: Loss=5.706325, Train RMSE=5.833232, Test RMSE=5.842510, Time=27.831 sec
[16:55:45] Epoch 41: Loss=5.696389, Train RMSE=5.880027, Test RMSE=5.889025, Time=27.085 sec
[16:56:14] Epoch 42: Loss=5.692496, Train RMSE=5.855107, Test RMSE=5.863768, Time=28.755 sec
[16:56:45] Epoch 43: Loss=5.682479, Train RMSE=5.852529, Test RMSE=5.861229, Time=31.730 sec
[16:57:33] Epoch 44: Loss=5.681897, Train RMSE=5.805329, Test RMSE=5.816123, Time=47.372 sec
[16:58:00] Epoch 45: Loss=5.669768, Train RMSE=5.839041, Test RMSE=5.846951, Time=27.158 sec
[16:58:28] Epoch 46: Loss=5.664757, Train RMSE=5.922323, Test RMSE=5.932412, Time=27.702 sec
[16:58:56] Epoch 47: Loss=5.653915, Train RMSE=5.852765, Test RMSE=5.860411, Time=28.404 sec
[16:59:27] Epoch 48: Loss=5.649382, Train RMSE=5.838559, Test RMSE=5.845512, Time=31.233 sec
[16:59:56] Epoch 49: Loss=5.646779, Train RMSE=5.833404, Test RMSE=5.840336, Time=28.951 sec
[17:00:24] Epoch 50: Loss=5.633925, Train RMSE=5.834830, Test RMSE=5.842685, Time=28.068 sec
[17:00:53] Epoch 51: Loss=5.632280, Train RMSE=5.811157, Test RMSE=5.819059, Time=28.758 sec
[17:01:22] Epoch 52: Loss=5.629831, Train RMSE=5.766729, Test RMSE=5.775543, Time=29.478 sec
[17:01:51] Epoch 53: Loss=5.617003, Train RMSE=5.825186, Test RMSE=5.832658, Time=28.084 sec
[17:02:18] Epoch 54: Loss=5.617087, Train RMSE=5.761820, Test RMSE=5.770688, Time=27.019 sec
[17:02:47] Epoch 55: Loss=5.605618, Train RMSE=5.762026, Test RMSE=5.770857, Time=28.941 sec
[17:03:23] Epoch 56: Loss=5.597840, Train RMSE=6.172646, Test RMSE=6.176678, Time=36.316 sec
[17:03:53] Epoch 57: Loss=5.598980, Train RMSE=5.754846, Test RMSE=5.763373, Time=29.741 sec
[17:04:47] Epoch 58: Loss=5.585718, Train RMSE=5.802770, Test RMSE=5.809530, Time=54.491 sec
[17:05:25] Epoch 59: Loss=5.589849, Train RMSE=5.792304, Test RMSE=5.798966, Time=37.982 sec
[17:05:54] Epoch 60: Loss=5.579530, Train RMSE=5.742525, Test RMSE=5.749801, Time=28.412 sec
[17:06:22] Epoch 61: Loss=5.573367, Train RMSE=5.813045, Test RMSE=5.821463, Time=27.943 sec
[17:06:51] Epoch 62: Loss=5.559536, Train RMSE=5.758023, Test RMSE=5.765044, Time=29.926 sec
[17:07:20] Epoch 63: Loss=5.558218, Train RMSE=5.759592, Test RMSE=5.766399, Time=28.846 sec
[17:08:06] Epoch 64: Loss=5.554132, Train RMSE=5.763368, Test RMSE=5.770832, Time=45.851 sec
[17:08:31] Epoch 65: Loss=5.552259, Train RMSE=5.735423, Test RMSE=5.742842, Time=25.332 sec
[17:08:56] Epoch 66: Loss=5.546949, Train RMSE=5.725470, Test RMSE=5.733608, Time=24.845 sec
[17:09:25] Epoch 67: Loss=5.544585, Train RMSE=5.682652, Test RMSE=5.692487, Time=28.219 sec
[17:09:53] Epoch 68: Loss=5.522401, Train RMSE=5.801279, Test RMSE=5.808380, Time=28.026 sec
[17:10:21] Epoch 69: Loss=5.527768, Train RMSE=5.768376, Test RMSE=5.775463, Time=28.852 sec
[17:10:48] Epoch 70: Loss=5.520996, Train RMSE=5.744061, Test RMSE=5.750880, Time=26.139 sec
[17:11:15] Epoch 71: Loss=5.518102, Train RMSE=5.922982, Test RMSE=5.932468, Time=26.914 sec
[17:11:41] Epoch 72: Loss=5.506813, Train RMSE=5.708241, Test RMSE=5.715917, Time=26.746 sec
[17:12:12] Epoch 73: Loss=5.501700, Train RMSE=5.922628, Test RMSE=5.927076, Time=30.697 sec
[17:12:41] Epoch 74: Loss=5.509680, Train RMSE=5.680117, Test RMSE=5.689237, Time=28.874 sec
[17:13:08] Epoch 75: Loss=5.494554, Train RMSE=5.759527, Test RMSE=5.766639, Time=27.012 sec
[17:13:35] Epoch 76: Loss=5.490929, Train RMSE=5.797619, Test RMSE=5.807137, Time=27.129 sec
[17:14:01] Epoch 77: Loss=5.483419, Train RMSE=5.695744, Test RMSE=5.704881, Time=26.405 sec
[17:14:28] Epoch 78: Loss=5.476652, Train RMSE=5.695793, Test RMSE=5.703899, Time=26.916 sec
[17:14:55] Epoch 79: Loss=5.467760, Train RMSE=5.712656, Test RMSE=5.721360, Time=26.325 sec
[17:15:33] Epoch 80: Loss=5.469861, Train RMSE=5.668278, Test RMSE=5.678229, Time=38.734 sec
[17:16:25] Epoch 81: Loss=5.459323, Train RMSE=5.712094, Test RMSE=5.721483, Time=51.768 sec
[17:16:55] Epoch 82: Loss=5.452375, Train RMSE=5.703153, Test RMSE=5.711667, Time=29.536 sec
[17:17:23] Epoch 83: Loss=5.443353, Train RMSE=5.707061, Test RMSE=5.717994, Time=28.537 sec
[17:18:02] Epoch 84: Loss=5.440749, Train RMSE=5.695926, Test RMSE=5.706181, Time=38.832 sec
[17:18:36] Epoch 85: Loss=5.439248, Train RMSE=5.660168, Test RMSE=5.670494, Time=33.842 sec
[17:19:04] Epoch 86: Loss=5.425142, Train RMSE=5.678915, Test RMSE=5.690624, Time=28.201 sec
[17:19:31] Epoch 87: Loss=5.424083, Train RMSE=5.640865, Test RMSE=5.653110, Time=26.376 sec
[17:19:58] Epoch 88: Loss=5.416568, Train RMSE=6.080196, Test RMSE=6.086738, Time=27.074 sec
[17:20:25] Epoch 89: Loss=5.406061, Train RMSE=5.879724, Test RMSE=5.888305, Time=27.559 sec
[17:20:52] Epoch 90: Loss=5.402320, Train RMSE=5.709817, Test RMSE=5.721290, Time=26.749 sec
