===============================
Start experiment at Sun Sep 28 00:53:50 UTC 2025
Config: batch_size=16, hidden=30, lr=0.005, epochs=160
[00:53:53] Running experiment with batch_size=16, hidden=30, lr=0.005, epochs=160, glob_interval=200, shuffle=True
[00:54:12] Data loading time: 19.635 sec
[00:57:04] Epoch 1: Loss=6.224149, Train RMSE=7.160439, Test RMSE=7.154291, Time=171.520 sec
[00:59:54] Epoch 2: Loss=5.691612, Train RMSE=7.339162, Test RMSE=7.336282, Time=169.829 sec
[01:02:22] Epoch 3: Loss=5.396387, Train RMSE=7.233840, Test RMSE=7.229285, Time=148.526 sec
[01:04:48] Epoch 4: Loss=5.254441, Train RMSE=7.066099, Test RMSE=7.058503, Time=145.901 sec
[01:07:53] Epoch 5: Loss=5.303248, Train RMSE=6.473886, Test RMSE=6.468714, Time=184.578 sec
[01:10:43] Epoch 6: Loss=5.156940, Train RMSE=6.418052, Test RMSE=6.411504, Time=170.320 sec
[01:13:10] Epoch 7: Loss=5.017418, Train RMSE=6.113591, Test RMSE=6.108858, Time=146.730 sec
[01:15:38] Epoch 8: Loss=5.010436, Train RMSE=7.151574, Test RMSE=7.151036, Time=148.528 sec
[01:18:57] Epoch 9: Loss=5.098861, Train RMSE=5.855692, Test RMSE=5.854819, Time=198.427 sec
[01:21:52] Epoch 10: Loss=4.993197, Train RMSE=5.871823, Test RMSE=5.864839, Time=175.521 sec
[01:24:23] Epoch 11: Loss=4.982158, Train RMSE=6.178310, Test RMSE=6.171724, Time=150.154 sec
[01:26:52] Epoch 12: Loss=4.963636, Train RMSE=5.689214, Test RMSE=5.682556, Time=149.828 sec
[01:30:24] Epoch 13: Loss=4.967737, Train RMSE=6.225472, Test RMSE=6.220994, Time=211.210 sec
[01:32:50] Epoch 14: Loss=4.938455, Train RMSE=5.762077, Test RMSE=5.756381, Time=145.830 sec
[01:35:15] Epoch 15: Loss=4.873100, Train RMSE=5.706902, Test RMSE=5.701630, Time=145.589 sec
[01:37:41] Epoch 16: Loss=4.976552, Train RMSE=5.725372, Test RMSE=5.719508, Time=146.325 sec
[01:41:11] Epoch 17: Loss=4.941279, Train RMSE=5.806997, Test RMSE=5.800072, Time=209.988 sec
[01:43:38] Epoch 18: Loss=4.966106, Train RMSE=5.621259, Test RMSE=5.613866, Time=146.094 sec
[01:46:02] Epoch 19: Loss=4.908780, Train RMSE=5.811270, Test RMSE=5.803941, Time=144.346 sec
[01:48:29] Epoch 20: Loss=4.946984, Train RMSE=5.531010, Test RMSE=5.524053, Time=146.621 sec
[01:51:43] Epoch 21: Loss=4.874251, Train RMSE=5.809921, Test RMSE=5.801507, Time=194.734 sec
[01:54:10] Epoch 22: Loss=4.849624, Train RMSE=5.598490, Test RMSE=5.591451, Time=146.575 sec
[01:56:37] Epoch 23: Loss=5.201821, Train RMSE=7.308581, Test RMSE=7.303402, Time=147.149 sec
[01:59:04] Epoch 24: Loss=5.555405, Train RMSE=6.378700, Test RMSE=6.376459, Time=147.183 sec
[02:02:34] Epoch 25: Loss=4.964373, Train RMSE=5.486614, Test RMSE=5.478991, Time=209.273 sec
[02:05:04] Epoch 26: Loss=4.926598, Train RMSE=5.657206, Test RMSE=5.652662, Time=150.831 sec
[02:07:32] Epoch 27: Loss=4.935424, Train RMSE=7.998539, Test RMSE=7.992051, Time=147.502 sec
[02:10:00] Epoch 28: Loss=4.898732, Train RMSE=5.950862, Test RMSE=5.946729, Time=148.322 sec
[02:13:00] Epoch 29: Loss=4.913696, Train RMSE=6.009725, Test RMSE=6.003329, Time=179.662 sec
[02:16:05] Epoch 30: Loss=4.863766, Train RMSE=6.036371, Test RMSE=6.030703, Time=184.835 sec
[02:18:36] Epoch 31: Loss=4.924616, Train RMSE=6.545003, Test RMSE=6.536384, Time=151.158 sec
[02:21:07] Epoch 32: Loss=4.851600, Train RMSE=5.815721, Test RMSE=5.811537, Time=151.166 sec
[02:24:03] Epoch 33: Loss=4.890101, Train RMSE=5.690385, Test RMSE=5.685570, Time=176.357 sec
[02:27:13] Epoch 34: Loss=4.879478, Train RMSE=6.363137, Test RMSE=6.357805, Time=189.578 sec
[02:29:42] Epoch 35: Loss=4.896088, Train RMSE=5.953406, Test RMSE=5.946835, Time=148.997 sec
[02:32:14] Epoch 36: Loss=4.879640, Train RMSE=5.645430, Test RMSE=5.640220, Time=152.267 sec
[02:35:06] Epoch 37: Loss=4.821105, Train RMSE=5.885470, Test RMSE=5.877030, Time=171.798 sec
[02:38:19] Epoch 38: Loss=4.868057, Train RMSE=5.687799, Test RMSE=5.687878, Time=192.403 sec
[02:40:53] Epoch 39: Loss=4.832028, Train RMSE=7.731114, Test RMSE=7.726278, Time=154.326 sec
[02:43:41] Epoch 40: Loss=4.858455, Train RMSE=6.824881, Test RMSE=6.819232, Time=168.458 sec
[02:46:09] Epoch 41: Loss=4.819249, Train RMSE=5.482245, Test RMSE=5.477606, Time=147.231 sec
[02:49:18] Epoch 42: Loss=4.969544, Train RMSE=5.570694, Test RMSE=5.565655, Time=189.486 sec
[02:51:44] Epoch 43: Loss=4.831268, Train RMSE=5.737496, Test RMSE=5.734166, Time=146.128 sec
[02:54:17] Epoch 44: Loss=4.827382, Train RMSE=6.141227, Test RMSE=6.135030, Time=152.760 sec
[02:56:43] Epoch 45: Loss=4.901726, Train RMSE=5.881389, Test RMSE=5.874826, Time=145.489 sec
[02:59:49] Epoch 46: Loss=4.839158, Train RMSE=5.709295, Test RMSE=5.705211, Time=186.589 sec
[03:02:42] Epoch 47: Loss=4.799837, Train RMSE=5.515757, Test RMSE=5.509659, Time=172.689 sec
[03:05:09] Epoch 48: Loss=4.795587, Train RMSE=5.882586, Test RMSE=5.877919, Time=146.885 sec
[03:07:38] Epoch 49: Loss=4.869551, Train RMSE=5.694594, Test RMSE=5.687284, Time=148.946 sec
[03:10:50] Epoch 50: Loss=4.794853, Train RMSE=5.614871, Test RMSE=5.609136, Time=191.779 sec
[03:13:43] Epoch 51: Loss=4.822108, Train RMSE=6.064856, Test RMSE=6.061231, Time=173.296 sec
[03:16:10] Epoch 52: Loss=4.838506, Train RMSE=5.610938, Test RMSE=5.605820, Time=146.647 sec
[03:18:39] Epoch 53: Loss=4.784780, Train RMSE=5.569758, Test RMSE=5.564363, Time=148.663 sec
[03:22:07] Epoch 54: Loss=4.797846, Train RMSE=6.527465, Test RMSE=6.528127, Time=208.581 sec
[03:24:34] Epoch 55: Loss=4.775971, Train RMSE=5.834202, Test RMSE=5.827188, Time=146.617 sec
[03:26:57] Epoch 56: Loss=4.817239, Train RMSE=6.275827, Test RMSE=6.271844, Time=143.604 sec
[03:29:18] Epoch 57: Loss=4.834485, Train RMSE=6.211094, Test RMSE=6.202382, Time=140.303 sec
[03:32:29] Epoch 58: Loss=4.776714, Train RMSE=6.191660, Test RMSE=6.184193, Time=191.448 sec
[03:34:57] Epoch 59: Loss=4.994139, Train RMSE=5.843413, Test RMSE=5.838362, Time=148.176 sec
[03:37:24] Epoch 60: Loss=4.831216, Train RMSE=5.513835, Test RMSE=5.509105, Time=146.383 sec
[03:39:49] Epoch 61: Loss=4.796062, Train RMSE=5.885229, Test RMSE=5.880202, Time=145.124 sec
[03:42:15] Epoch 62: Loss=4.781799, Train RMSE=5.291427, Test RMSE=5.286141, Time=145.968 sec
[03:45:40] Epoch 63: Loss=4.778718, Train RMSE=5.508641, Test RMSE=5.504480, Time=204.587 sec
[03:48:09] Epoch 64: Loss=4.787254, Train RMSE=5.300005, Test RMSE=5.293523, Time=149.542 sec
[03:50:33] Epoch 65: Loss=4.732000, Train RMSE=6.396140, Test RMSE=6.389351, Time=143.459 sec
[03:52:58] Epoch 66: Loss=4.766755, Train RMSE=5.751580, Test RMSE=5.748420, Time=145.789 sec
[03:56:23] Epoch 67: Loss=4.744237, Train RMSE=5.450987, Test RMSE=5.444946, Time=204.308 sec
[03:58:38] Epoch 68: Loss=4.737202, Train RMSE=5.709831, Test RMSE=5.702370, Time=135.357 sec
[04:00:53] Epoch 69: Loss=4.737518, Train RMSE=5.455831, Test RMSE=5.450542, Time=134.818 sec
[04:03:07] Epoch 70: Loss=4.732062, Train RMSE=5.435407, Test RMSE=5.428545, Time=134.149 sec
[04:06:36] Epoch 71: Loss=4.747963, Train RMSE=5.293740, Test RMSE=5.288207, Time=209.200 sec
[04:09:00] Epoch 72: Loss=4.746376, Train RMSE=5.508105, Test RMSE=5.501777, Time=143.405 sec
[04:11:19] Epoch 73: Loss=4.733234, Train RMSE=5.318496, Test RMSE=5.313774, Time=139.592 sec
[04:13:39] Epoch 74: Loss=4.721921, Train RMSE=5.370083, Test RMSE=5.366467, Time=139.931 sec
